kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7448
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7263
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7203
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7306
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7572
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7517
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7213
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7268
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7458
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7449
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",68
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",72
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",75
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",78
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",81
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",91
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",101
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",111
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",115
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",119
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",123
