,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
63,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",42866
64,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",41275
65,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",41058
66,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",40833
67,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",38869
68,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6843
69,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6671
70,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6763
71,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6901
72,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7007
73,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7027
74,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7025
75,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7040
76,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6790
77,0 Alle kilder,VT0 I alt,K12 Metan (CH4),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6752
78,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6759
79,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6747
